               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,             0.02671,            0.033055,           0.0014492,             0.63608,             0.61418,             0.62653,             0.30059,            0.036043,             0.01644,            0.010059,            0.002855,            0.002855,            0.002855
                 107,            0.025528,            0.030438,           0.0012272,             0.64717,             0.60531,             0.63039,             0.29709,            0.036277,            0.016399,            0.010392,           0.0027793,           0.0027793,           0.0027793
                 108,            0.026502,            0.031477,           0.0012122,             0.67474,             0.59079,             0.62602,             0.29758,            0.036064,            0.016334,            0.010169,           0.0027048,           0.0027048,           0.0027048
                 109,            0.025591,            0.026527,           0.0011276,              0.6842,             0.58234,             0.61943,             0.30568,            0.036068,            0.016294,             0.01045,           0.0026316,           0.0026316,           0.0026316
                 110,            0.025854,            0.034273,           0.0011766,             0.62677,             0.59597,             0.60585,             0.29427,            0.037083,            0.016445,            0.010318,           0.0025596,           0.0025596,           0.0025596
                 111,            0.026563,            0.032678,           0.0011211,             0.64542,             0.58324,             0.61376,             0.29709,            0.036822,            0.016372,            0.010294,           0.0024889,           0.0024889,           0.0024889
                 112,            0.026048,            0.029709,           0.0013865,             0.65669,             0.59545,             0.62592,              0.3012,            0.036198,             0.01626,            0.010608,           0.0024195,           0.0024195,           0.0024195
                 113,            0.025947,            0.030608,           0.0009181,             0.65242,             0.61116,             0.62499,             0.30211,            0.036331,            0.016174,            0.010048,           0.0023515,           0.0023515,           0.0023515
                 114,            0.025511,            0.031606,          0.00096794,             0.65454,             0.60283,             0.62908,             0.29968,            0.036606,            0.016282,           0.0096915,           0.0022849,           0.0022849,           0.0022849
                 115,            0.025357,            0.031933,            0.001133,             0.60899,             0.63856,             0.63033,             0.30248,            0.036926,             0.01641,           0.0096371,           0.0022196,           0.0022196,           0.0022196
                 116,            0.025959,            0.026621,           0.0012001,             0.66734,             0.60077,               0.623,             0.29764,            0.036988,            0.016221,           0.0099605,           0.0021558,           0.0021558,           0.0021558
                 117,            0.025831,            0.032786,          0.00095281,              0.6303,             0.62635,             0.63143,             0.30053,            0.036445,            0.016397,            0.010044,           0.0020935,           0.0020935,           0.0020935
                 118,            0.025429,            0.028886,           0.0013072,             0.63456,              0.6303,             0.62939,             0.30141,            0.036793,            0.016396,           0.0098629,           0.0020327,           0.0020327,           0.0020327
                 119,            0.025004,            0.029085,           0.0010868,             0.68196,             0.61829,             0.63992,             0.30199,            0.036092,            0.016348,           0.0099671,           0.0019734,           0.0019734,           0.0019734
                 120,            0.025529,            0.029385,          0.00085535,             0.66763,             0.61387,             0.63927,             0.30558,            0.036122,            0.016466,           0.0094795,           0.0019156,           0.0019156,           0.0019156
                 121,            0.024638,            0.028273,          0.00090392,             0.65676,             0.61089,             0.63812,             0.30829,             0.03634,            0.016391,           0.0093053,           0.0018594,           0.0018594,           0.0018594
                 122,            0.024475,            0.031928,          0.00069122,             0.67408,             0.58931,             0.62919,             0.30174,             0.03661,            0.016501,           0.0092613,           0.0018048,           0.0018048,           0.0018048
                 123,            0.025061,            0.027836,           0.0012201,             0.62617,             0.62416,             0.63026,             0.30348,            0.036525,            0.016604,           0.0094583,           0.0017519,           0.0017519,           0.0017519
                 124,            0.024848,            0.028015,          0.00090879,             0.64564,             0.60823,             0.63002,             0.30403,            0.036486,            0.016444,           0.0096931,           0.0017005,           0.0017005,           0.0017005
                 125,            0.025026,            0.030446,           0.0010302,             0.64591,             0.60363,             0.62594,             0.30499,             0.03677,             0.01629,           0.0097051,           0.0016509,           0.0016509,           0.0016509
                 126,             0.02511,            0.031751,          0.00078235,             0.63269,             0.60808,             0.61988,             0.29709,            0.036942,            0.016478,           0.0096764,           0.0016029,           0.0016029,           0.0016029
                 127,            0.024714,            0.027327,             0.00114,             0.64461,             0.61293,             0.62658,             0.30372,            0.036806,            0.016593,            0.010022,           0.0015566,           0.0015566,           0.0015566
                 128,            0.024324,            0.030614,          0.00099884,             0.66145,             0.59698,             0.62692,             0.30472,            0.036698,            0.016612,             0.01004,           0.0015121,           0.0015121,           0.0015121
                 129,            0.024414,            0.029752,           0.0011109,              0.6223,             0.61386,             0.61826,             0.29472,            0.036693,            0.016704,            0.010212,           0.0014693,           0.0014693,           0.0014693
                 130,            0.024324,            0.029997,          0.00096825,             0.63719,             0.61225,             0.62087,             0.30122,            0.036484,            0.016717,            0.009851,           0.0014283,           0.0014283,           0.0014283
                 131,            0.024211,            0.029381,          0.00099824,             0.64615,             0.61157,             0.62041,             0.30017,            0.036567,            0.016728,           0.0097976,            0.001389,            0.001389,            0.001389
                 132,             0.02413,            0.029411,          0.00076796,              0.6592,             0.60732,             0.62652,             0.30401,             0.03661,            0.016715,           0.0098629,           0.0013516,           0.0013516,           0.0013516
                 133,            0.024029,            0.028761,           0.0012699,             0.65041,              0.6132,             0.63115,             0.30711,            0.036478,            0.016569,           0.0099155,            0.001316,            0.001316,            0.001316
                 134,            0.024701,            0.029816,            0.001035,             0.67043,              0.5873,             0.62079,             0.30012,             0.03665,            0.016613,           0.0098253,           0.0012822,           0.0012822,           0.0012822
                 135,            0.024593,            0.029613,          0.00088805,             0.68494,             0.57868,             0.62059,             0.30069,            0.036904,            0.016655,            0.010363,           0.0012503,           0.0012503,           0.0012503
                 136,            0.024371,            0.029925,          0.00064469,             0.65245,             0.61149,             0.62794,             0.30132,            0.036798,            0.016799,            0.010285,           0.0012202,           0.0012202,           0.0012202
                 137,            0.024057,            0.031334,          0.00097801,             0.63891,              0.6199,             0.63072,             0.30535,            0.036496,            0.016572,            0.010281,           0.0011921,           0.0011921,           0.0011921
                 138,             0.02401,            0.030444,          0.00089001,             0.67336,             0.59734,             0.62664,             0.30269,            0.036811,            0.016612,            0.010169,           0.0011658,           0.0011658,           0.0011658
                 139,            0.024185,            0.029818,          0.00097157,               0.649,             0.60775,             0.62878,               0.303,            0.036712,             0.01658,            0.010518,           0.0011414,           0.0011414,           0.0011414
                 140,            0.024373,            0.029349,           0.0011851,             0.64519,             0.61302,             0.62667,             0.30392,            0.036643,            0.016607,            0.010492,           0.0011189,           0.0011189,           0.0011189
                 141,            0.024989,             0.03074,          0.00091918,             0.64757,             0.60893,             0.62594,             0.30416,            0.036456,            0.016493,            0.010157,           0.0010983,           0.0010983,           0.0010983
                 142,             0.02423,             0.03138,           0.0010929,             0.65188,              0.6216,             0.62964,             0.30827,            0.036313,             0.01653,           0.0099632,           0.0010797,           0.0010797,           0.0010797
                 143,            0.024014,            0.028299,           0.0006935,             0.66029,             0.59967,              0.6252,             0.30606,            0.036249,            0.016489,            0.010287,            0.001063,            0.001063,            0.001063
                 144,            0.023914,            0.032364,          0.00076641,             0.64572,             0.61011,             0.61904,             0.30323,            0.036429,            0.016774,           0.0099688,           0.0010483,           0.0010483,           0.0010483
                 145,            0.024019,            0.030482,          0.00089225,              0.6315,             0.61442,             0.61964,             0.30231,            0.036637,            0.016813,             0.01025,           0.0010355,           0.0010355,           0.0010355
                 146,            0.024101,            0.027892,          0.00084585,             0.62701,             0.62135,             0.61903,             0.30362,            0.036624,            0.016686,             0.01022,           0.0010247,           0.0010247,           0.0010247
                 147,            0.023501,            0.028846,          0.00073002,             0.66187,              0.5984,              0.6219,             0.30649,            0.036363,            0.016712,            0.010074,           0.0010158,           0.0010158,           0.0010158
                 148,            0.024548,            0.030918,          0.00083514,             0.65094,             0.60291,             0.62024,             0.30257,            0.036531,             0.01682,            0.010042,           0.0010089,           0.0010089,           0.0010089
                 149,            0.023796,            0.027009,          0.00086431,             0.67512,             0.58602,             0.62046,             0.30491,            0.036738,             0.01671,            0.010118,           0.0010039,           0.0010039,           0.0010039
